"","museum_no","X","objectID","isHighlight","accessionYear","isPublicDomain","primaryImage","primaryImageSmall","additionalImages","constituents","department","objectName","title","culture","period.x","dynasty","reign","portfolio","artistRole","artistPrefix","artistDisplayName","artistDisplayBio","artistSuffix","artistAlphaSort","artistNationality","artistBeginDate","artistEndDate","artistGender","artistWikidata_URL","artistULAN_URL","objectDate","objectBeginDate","objectEndDate","medium","dimensions","measurements","creditLine","geographyType","city","state","county","country","region","subregion","locale","locus","excavation","river","classification","rightsAndReproduction","linkResource","metadataDate","repository","objectURL","tags","objectWikidata_URL","isTimelineWork","GalleryNumber","excavation_no","id_text","accession_no","accounting_period","acquisition_history","alternative_years","archive","ark","atf_source","atf_up","author","author_remarks","cdli_collation","cdli_comments","citation","collection","collection_copyright","composite_id","condition_description","date_entered","date_of_origin","date_remarks","date_updated","dates_referenced","db_source","designation","electronic_publication","elevation","external_id","findspot_remarks","findspot_square","genre","google_earth_collection","google_earth_provenience","height","join_information","language","lineart_up","material","object_preservation","object_remarks","object_type","period.y","period_remarks","photo_up","primary_publication","provenience","provenience_remarks","public","public_atf","public_images","publication_date","publication_history","published_collation","seal_id","seal_information","stratigraphic_level","subgenre","subgenre_remarks","surface_preservation","text_remarks","thickness","translation_source","width","writing_phase"
"106","86.11.115",380,321709,"False",1886,"True","https://images.metmuseum.org/CRDImages/an/original/ME86_11_115.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME86_11_115.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-428.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: house rental contract, Esagilaya archive","Achaemenid","Achaemenid","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 522–486 B.C.",-522,-486,"Clay","3.4 x 5.1 x 2.2 cm (1 3/8 x 2 x 7/8 in.)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 2.2, 'Height': 3.4, 'Width': 5.1}}]","Purchase, 1886","",NA,NA,NA,"","Mesopotamia","probably from Babylon (modern Hillah)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/321709","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P412320","","","","","","21198/zz0020wv1b","no atf","","Spar, Ira & Dassow, Eva von","house rental contract",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","6/15/2010","Darius1.--.07.16","","10/21/2018","Darius1.--.07.16","","CTMMA 3, 042","",NA,"","",NA,"Legal",NA,NA,"","","","150ppi 20160630","clay","","","tablet","Achaemenid (547-331 BC)","","","CTMMA 3, 042","B bili (mod. Babylon)","","yes","yes","yes","2000","",NA,"","",NA,"","","",NA,"","no translation","",""
"107","86.11.116",539,321710,"False",1886,"True","https://images.metmuseum.org/CRDImages/an/original/ME86_11_116.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME86_11_116.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-631.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: allocation of dates for fodder, Ebabbar archive","Achaemenid","Achaemenid","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 522–486 B.C.",-522,-486,"Clay","1.5 x 2.25 x .91 in. (3.8 x 5.7 x 2.3 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 3.81, 'Thickness': 2.3, 'Width': 5.72}}]","Purchase, 1886","",NA,NA,NA,"","Mesopotamia","probably from Sippar (modern Tell Abu Habba)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/321710","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P500796","","","Purchase, 1886","","","","no atf","","Spar, Ira & Jursa, Michael","",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","8/29/2017","","","10/21/2018","","20170829 cdliadmin","CTMMA 4, 077","",NA,"","",NA,"",NA,NA,"","","Akkadian","","clay","","","tablet","Achaemenid (547-331 BC)","","","CTMMA 4, 077","Sippar-Yahrurum (mod. Tell Abu Habbah) ?","","yes","yes","yes","2014","",NA,"","",NA,"","","",NA,"","no translation","",""
"108","86.11.117",485,321711,"False",1886,"True","https://images.metmuseum.org/CRDImages/an/original/ME86_11_117.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME86_11_117.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-624.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: account of flour disbursements, Ebabbar archive","Babylonian","Neo-Babylonian","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 605–562 B.C.",-605,-562,"Clay","1.25 x 2.13 x .75 in. (3.2 x 5.4 x 1.95 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 3.18, 'Thickness': 1.9500000000000002, 'Width': 5.38}}]","Purchase, 1886","",NA,NA,NA,"","Mesopotamia","probably from Sippar (modern Tell Abu Habba)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/321711","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P499169","","","Purchase, 1886","","","","no atf","","Spar, Ira & Logan, Thomas J. & Allen, James P.","Sb Fragment",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","9/21/2016","Nebuchadnezzar2.06.01","","10/21/2018","Nebuchadnezzar2.06.01","20160921 cdliadmin","Fs Leichty 460-461","",NA,"","",NA,"Administrative",NA,NA,"","","Akkadian","150ppi 20160630","clay","","","tablet","Neo-Babylonian (ca. 626-539 BC)","","","Fs Leichty 460-461","","","yes","yes","yes","2006","CTMMA 4, 070",NA,"","",NA,"","","",NA,"","no translation","",""
"109","86.11.118",384,321712,"False",1886,"True","https://images.metmuseum.org/CRDImages/an/original/ME86_11_118.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME86_11_118.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-657.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: account of aromatics, Ebabbar archive","Babylonian or Achaemenid","Neo-Babylonian or Achaemenid","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 7th–4th century B.C.",-700,-300,"Clay","1.25 x 2.13 x .75 in. (3.2 x 5.4 x 2 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 3.18, 'Thickness': 2, 'Width': 5.38}}]","Purchase, 1886","",NA,NA,NA,"","Mesopotamia","probably from Sippar (modern Tell Abu Habba)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/321712","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P500797","","","Purchase, 1886","","","","no atf","","Spar, Ira & Jursa, Michael","",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","8/29/2017","","","10/21/2018","","20170829 cdliadmin","CTMMA 4, 102","",NA,"","",NA,"",NA,NA,"","","Akkadian","","clay","","","tablet","Neo-Babylonian (ca. 626-539 BC) ?","","","CTMMA 4, 102","Sippar-Yahrurum (mod. Tell Abu Habbah) ?","","yes","yes","yes","2014","",NA,"","",NA,"","","",NA,"","no translation","",""
"110","86.11.120",528,321713,"False",1886,"True","https://images.metmuseum.org/CRDImages/an/original/ME86_11_120.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME86_11_120.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-608.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: account of barley disbursements to prebendary bakers, Ebabbar archive","Babylonian","Neo-Babylonian","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 620 B.C.",-620,-620,"Clay","1.75 x 2.75 x .91 in. (4.5 x 7 x 2.3 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 4.45, 'Thickness': 2.25, 'Width': 6.99}}]","Purchase, 1886","",NA,NA,NA,"","Mesopotamia","probably from Sippar (modern Tell Abu Habba)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/321713","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P500798","","","Purchase, 1886","","","","no atf","","Spar, Ira & Jursa, Michael","",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","8/29/2017","","","10/21/2018","","20170829 cdliadmin","CTMMA 4, 055","",NA,"","",NA,"",NA,NA,"","","Akkadian","","clay","","","tablet","Neo-Babylonian (ca. 626-539 BC)","","","CTMMA 4, 055","Sippar-Yahrurum (mod. Tell Abu Habbah) ?","","yes","yes","yes","2014","",NA,"","",NA,"","","",NA,"","no translation","",""
"111","86.11.121",585,321714,"False",1886,"True","https://images.metmuseum.org/CRDImages/an/original/ME86_11_121.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME86_11_121.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-323.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-324.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: Urra=hubullu, tablet 13, bilingual vocabulary of domestic animals","","","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. late 1st millennium B.C.",-1000,-1,"Clay","5 1/4 x 2 3/4 x 1 5/8 in. (13.3 x 7.1 x 4.1 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 13.3, 'Thickness': 4.1, 'Width': 7.1}}]","Purchase, 1886","",NA,NA,NA,"","Mesopotamia","",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/321714","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P412228","","","","","","21198/zz0021d18h","no atf","","Spar, Ira & Lambert, Wilfred G.","Bilingual Vocabulary of Domestic Animals. Urra = hubullu, Tablet 13",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","6/15/2010","","","10/21/2018","","20100615 cdliadmin","CTMMA 2, 055","",NA,"","",NA,"Lexical",NA,NA,"","","Akkadian","150ppi 20160630","clay","","","tablet","","","","CTMMA 2, 055","","","yes","yes","yes","2005","",NA,"","",NA,"","","",NA,"","no translation","",""
"112","86.11.122",386,321715,"False",1886,"True","https://images.metmuseum.org/CRDImages/an/original/ME86_11_122.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME86_11_122.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-603.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: animal account, Ebabbar archive","Babylonian","Neo-Babylonian","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 626–605 B.C.",-626,-605,"Clay","2.75 x 4 x 1 in. (7 x 10.2 x 2.5 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 6.99, 'Thickness': 2.5, 'Width': 10.16}}]","Purchase, 1886","",NA,NA,NA,"","Mesopotamia","probably from Sippar (modern Tell Abu Habba)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/321715","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P500799","","","Purchase, 1886","","","","no atf","","Spar, Ira & Jursa, Michael","",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","8/29/2017","","","10/21/2018","","20170829 cdliadmin","CTMMA 4, 050","",NA,"","",NA,"",NA,NA,"","","Akkadian","","clay","","","tablet","Neo-Babylonian (ca. 626-539 BC)","","","CTMMA 4, 050","Sippar-Yahrurum (mod. Tell Abu Habbah) ?","","yes","yes","yes","2014","",NA,"","",NA,"","","",NA,"","no translation","",""
"113","86.11.124",486,321716,"False",1886,"True","https://images.metmuseum.org/CRDImages/an/original/ME86_11_124.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME86_11_124.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-633.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: record of barley allocations, Ebabbar archive","Babylonian","Neo-Babylonian","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 566 B.C.",-566,-566,"Clay","1 3/8 x 1.5 x .89 in. (3.5 x 3.8 x 2.25 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 3.48, 'Thickness': 2.25, 'Width': 3.81}}]","Purchase, 1886","",NA,NA,NA,"","Mesopotamia","probably from Sippar (modern Tell Abu Habba)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/321716","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P500800","","","Purchase, 1886","","","","no atf","","Spar, Ira & Jursa, Michael","",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","8/29/2017","","","10/21/2018","","20170829 cdliadmin","CTMMA 4, 079","",NA,"","",NA,"",NA,NA,"","","Akkadian","","clay","","","tablet","Neo-Babylonian (ca. 626-539 BC)","","","CTMMA 4, 079","Sippar-Yahrurum (mod. Tell Abu Habbah) ?","","yes","yes","yes","2014","",NA,"","",NA,"","","",NA,"","no translation","",""
"114","86.11.127",548,321718,"False",1886,"True","https://images.metmuseum.org/CRDImages/an/original/ME86_11_127.JPG","https://images.metmuseum.org/CRDImages/an/web-large/ME86_11_127.JPG","['https://images.metmuseum.org/CRDImages/an/original/DP-211-626.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: account of bread issues to personnel, Ebabbar archive","Babylonian","Neo-Babylonian","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 605–562 B.C.",-605,-562,"Clay","1.5 x 2.64 x .85 in. (3.81 x 6.65 x 2.15 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 3.81, 'Thickness': 2.15, 'Width': 6.65}}]","Purchase, 1886","",NA,NA,NA,"","Mesopotamia","probably from Sippar (modern Tell Abu Habba)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/321718","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P500802","","","Purchase, 1886","","","","no atf","","Spar, Ira & Jursa, Michael","",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","8/29/2017","","","10/21/2018","","20170829 cdliadmin","CTMMA 4, 072","",NA,"","",NA,"",NA,NA,"","","Akkadian","","clay","","","tablet","Neo-Babylonian (ca. 626-539 BC)","","","CTMMA 4, 072","Sippar-Yahrurum (mod. Tell Abu Habbah) ?","","yes","yes","yes","2014","",NA,"","",NA,"","","",NA,"","no translation","",""
"115","86.11.130",14,321719,"False",1886,"True","https://images.metmuseum.org/CRDImages/an/original/DP-16190-013.jpg","https://images.metmuseum.org/CRDImages/an/web-large/DP-16190-013.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-16190-014.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-292.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: Gula incantation","Babylonian or Achaemenid","Neo-Babylonian or Achaemenid","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. mid- to late 1st millennium B.C.",-500,-1,"Clay","2 in. × 2 9/16 in. × 1 in. (5.1 × 6.5 × 2.5 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 2.5, 'Height': 5.08, 'Width': 6.5}}]","Purchase, 1886","",NA,NA,NA,"","Mesopotamia","probably from Sippar (modern Tell Abu Habba)",NA,NA,NA,NA,"",NA,NA,"2021-04-15T04:40:52.63Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/321719","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","True",406,"","P412203","","","","","","21198/zz0021rhgv","no atf","","Spar, Ira & Lambert, Wilfred G.","Gula Incantation",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","6/15/2010","","","10/21/2018","","20100615 cdliadmin","CTMMA 2, 030","",NA,"","",NA,"Prayer/Incantation",NA,NA,"","","Akkadian","150ppi 20160630","clay","","","tablet","","","","CTMMA 2, 030","Sippar-Yahrurum (mod. Tell Abu Habbah)","","yes","yes","yes","2005","",NA,"","",NA,"","","",NA,"","no translation","",""
"116","86.11.133",272,321720,"False",1886,"True","https://images.metmuseum.org/CRDImages/an/original/ME86_11_133.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME86_11_133.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-519.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-520.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet impressed with three cylinder seals and three stamp seals: renunciation of claim","Achaemenid","Achaemenid","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 422 B.C.",-422,-422,"Clay","7.2 x 8.7 x 2.9 cm (2 7/8 x 3 3/8 x 1 1/8 in.)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 2.9, 'Height': 7.2, 'Width': 8.7}}]","Purchase, 1886","",NA,NA,NA,"","Mesopotamia","",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/321720","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P412405","","","","","","21198/zz0021vk2z","no atf","","Spar, Ira & Dassow, Eva von","renunciation of claim",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","6/15/2010","Darius2.02.06.11 ?","","10/21/2018","Darius2.02.06.11 ?","","CTMMA 3, 127","",NA,"","",NA,"Legal",NA,NA,"","","","150ppi 20160630","clay","","","tablet","Achaemenid (547-331 BC)","","","CTMMA 3, 127","","","yes","yes","yes","2000","",NA,"","",NA,"","","",NA,"","no translation","",""
"117","86.11.134",194,321721,"False",1886,"True","https://images.metmuseum.org/CRDImages/an/original/ME86_11_134.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME86_11_134.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-006.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-007.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: account text concerning bitumen, Quradum archive","Akkadian","Akkadian","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 2350–2150 B.C.",-2350,-2150,"Clay","9.4 x 8.1 x 2.2 cm (3 3/4 x 3 1/4 x 7/8 in.)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 2.2, 'Height': 9.4, 'Width': 8.1}}]","Purchase, 1886","",NA,NA,NA,"","Mesopotamia","probably from Sippar (modern Tell Abu Habba)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/321721","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P213095","","","","","","21198/zz001zpcds","Brumfield, Sara","","Sollberger, Edmond","",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","","","","10/20/2018","","nn","CTMMA 1, 006","",NA,"","",NA,"Administrative",NA,NA,"?","","","150ppi 20160630","clay","","","tablet","Old Akkadian (ca. 2340-2200 BC)","","","CTMMA 1, 006","Sippar-Yahrurum (mod. Tell Abu Habbah)","","yes","yes","yes","1988","apud Spar, I., ed.",NA,"","",NA,"","Distribuci—n de pez, archivo de Quradum.","",NA,"?","no translation","?",""
"118","86.11.143",593,321723,"False",1886,"True","https://images.metmuseum.org/CRDImages/an/original/ME86_11_143.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME86_11_143.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-604.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: account of sheep holdings in households for offerings, from the 20th year of rule of either Nabopolassar or Nebuchadnezzar II, Ebabbar archive","Babylonian","Neo-Babylonian","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 605 B.C. or 584 B.C.",-605,-584,"Clay","2 x 3.37 x 1.18 in. (5.08 x 8.56 x 3 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 3, 'Height': 5.08, 'Width': 8.56}}]","Purchase, 1886","",NA,NA,NA,"","Mesopotamia","probably from Sippar (modern Tell Abu Habba)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/321723","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P500803","","","Purchase, 1886","","","","no atf","","Spar, Ira & Jursa, Michael","",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","8/29/2017","","","10/21/2018","","20170829 cdliadmin","CTMMA 4, 051","",NA,"","",NA,"",NA,NA,"","","Akkadian","","clay","","","tablet","Neo-Babylonian (ca. 626-539 BC)","","","CTMMA 4, 051","Sippar-Yahrurum (mod. Tell Abu Habbah) ?","","yes","yes","yes","2014","",NA,"","",NA,"","","",NA,"","no translation","",""
"119","86.11.145",392,321724,"False",1886,"True","https://images.metmuseum.org/CRDImages/an/original/ME86_11_145.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME86_11_145.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-463.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: slave sale, Egibi archive","Babylonian","Neo-Babylonian","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 547 BC",-547,-547,"Clay","5.1 x 6.8 x 2.4 cm (2 x 2 5/8 x 1 in.)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 2.4, 'Height': 5.1, 'Width': 6.8}}]","Purchase, 1886","",NA,NA,NA,"","Mesopotamia","probably from Babylon (modern Hillah)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/321724","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P412355","","","","","","21198/zz00210fqn","no atf","","Spar, Ira & Dassow, Eva von","slave purchase",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","6/15/2010","Nabonidus.09.07.10","","10/21/2018","Nabonidus.09.07.10","","CTMMA 3, 077","",NA,"","",NA,"Legal",NA,NA,"","","","150ppi 20160630","clay","","","tablet","Neo-Babylonian (ca. 626-539 BC)","","","CTMMA 3, 077","B bili (mod. Babylon)","","yes","yes","yes","2000","",NA,"","",NA,"","","",NA,"","no translation","",""
"120","86.11.146",388,321725,"False",1886,"True","https://images.metmuseum.org/CRDImages/an/original/ME86_11_146.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME86_11_146.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-508.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: promissory note for silver","Achaemenid","Achaemenid","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 498 B.C.",-498,-498,"Clay","5.3 x 6.7 x 2.2 cm (2 1/8 x 2 5/8 x 7/8 in.)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 2.2, 'Height': 5.3, 'Width': 6.7}}]","Purchase, 1886","",NA,NA,NA,"","Mesopotamia","probably from Babylon (modern Hillah)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/321725","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P412396","","","","","","21198/zz0021vjrt","no atf","","Spar, Ira & Dassow, Eva von","promissory note for silver",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","6/15/2010","Darius1.24.--.24","","10/21/2018","Darius1.24.--.24","","CTMMA 3, 118","",NA,"","",NA,"Legal",NA,NA,"","","","150ppi 20160630","clay","","","tablet","Achaemenid (547-331 BC)","","","CTMMA 3, 118","B bili (mod. Babylon)","","yes","yes","yes","2000","",NA,"","",NA,"","","",NA,"","no translation","",""
