,objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,constituents,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber
10,323827,False,41.160.236,1941,True,https://images.metmuseum.org/CRDImages/an/original/ME41_160_236.JPG,https://images.metmuseum.org/CRDImages/an/web-large/ME41_160_236.JPG,"['https://images.metmuseum.org/CRDImages/an/original/DP-211-016.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-156.jpg']",,Ancient Near Eastern Art,Cuneiform tablet,Cuneiform tablet impressed with cylinder seal: receipt of glue,Neo-Sumerian,Ur III,,,,,,,,,,,,,,,,ca. 2049 B.C.,-2049,-2049,Clay,3.7 x 4.1 x 1.4 cm (1 1/2 x 1 5/8 x 1/2 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 1.4, 'Height': 3.7, 'Width': 4.1}}]","Bequest of W. Gedney Beatty, 1941",,,,,,Mesopotamia,probably from Drehem (ancient Puzrish-Dagan),,,,,,,,2021-08-20T04:36:13.79Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/323827,"[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]",,False,402
11,321676,False,86.11.60,1886,True,https://images.metmuseum.org/CRDImages/an/original/DP360616.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP360616.jpg,"['https://images.metmuseum.org/CRDImages/an/original/DP375608.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP375690.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP375691.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-725.jpg']",,Ancient Near Eastern Art,Cuneiform cylinder,Cuneiform cylinder: inscription of Nebuchadnezzar II describing the construction of the outer city wall of Babylon,Babylonian,Neo-Babylonian,,,,,,,,,,,,,,,,ca. 604–562 B.C.,-604,-562,Clay,2 5/8 × 4 7/8 × 2 13/16 in. (6.7 × 12.35 × 7.2 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 7.2, 'Height': 6.7, 'Width': 12.35}}]","Purchase, 1886",,,,,,Mesopotamia,Babylon (?),,,,,,,,2021-08-20T04:36:13.79Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/321676,"[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]",,True,402
12,321907,False,86.11.283,1886,True,https://images.metmuseum.org/CRDImages/an/original/DP360668.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP360668.jpg,"['https://images.metmuseum.org/CRDImages/an/original/DP375615.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP375616.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-714.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-715.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-716.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-717.jpg']",,Ancient Near Eastern Art,Cuneiform prism,"Cuneiform prism describing the restoration of Babylon by Esarhaddon, stamped with Assyrian hieroglyphic inscription",Assyrian,Neo-Assyrian,,,,,,,,,,,,,,,,ca. 676-672 B.C.,-676,-672,Clay,2 7/8 × 4 7/16 × 4 1/4 in. (7.3 × 11.3 × 10.8 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 10.8, 'Height': 7.3, 'Width': 11.3}}]","Purchase, 1886",,,,,,Mesopotamia,probably from Babylon (modern Hillah),,,,,,,,2021-08-20T04:36:13.79Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/321907,"[{'term': 'Lions', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300310388', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q140'}, {'term': 'Hieroglyphs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028721', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q193762'}, {'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]",,True,402
13,327498,False,1994.433,1994,True,https://images.metmuseum.org/CRDImages/an/original/DP364276.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP364276.jpg,[],,Ancient Near Eastern Art,Bead,Bead with cuneiform inscription of Kurigalzu I or II,Kassite,Kassite,,,,,,,,,,,,,,,,ca. 14th century B.C.,-1400,-1300,Agate,H. 2.5 cm x W. 2.4 cm x Th. 1.3 cm,,"Rogers Fund, 1994",,,,,,Mesopotamia,,,,,,,,,2020-09-25T04:35:54.317Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/327498,"[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]",,True,406
14,321719,False,86.11.130,1886,True,https://images.metmuseum.org/CRDImages/an/original/DP-16190-013.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-16190-013.jpg,"['https://images.metmuseum.org/CRDImages/an/original/DP-16190-014.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-292.jpg']",,Ancient Near Eastern Art,Cuneiform tablet,Cuneiform tablet: Gula incantation,Babylonian or Achaemenid,Neo-Babylonian or Achaemenid,,,,,,,,,,,,,,,,ca. mid- to late 1st millennium B.C.,-500,-1,Clay,2 in. × 2 9/16 in. × 1 in. (5.1 × 6.5 × 2.5 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 2.5, 'Height': 5.08, 'Width': 6.5}}]","Purchase, 1886",,,,,,Mesopotamia,probably from Sippar (modern Tell Abu Habba),,,,,,,,2021-04-15T04:40:52.63Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/321719,"[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]",,True,406
15,325849,False,66.245.8,1966,True,https://images.metmuseum.org/CRDImages/an/original/DP110638.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110638.jpg,['https://images.metmuseum.org/CRDImages/an/original/DP-211-104.jpg'],,Ancient Near Eastern Art,Cuneiform tablet,Cuneiform tablet: private letter,Old Assyrian Trading Colony,Middle Bronze Age–Old Assyrian Trading Colony,,,,,,,,,,,,,,,,ca. 20th–19th century B.C.,-2000,-1800,Clay,5.3 x 5 x 2 cm (2 1/8 x 2 x 3/4 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 2, 'Height': 5.3, 'Width': 5}}]","Gift of Mr. and Mrs. J. J. Klejman, 1966",,,,,,Anatolia,probably from Kültepe (Karum Kanesh),,,,,,,,2020-09-25T04:35:54.317Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/325849,"[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]",,False,406
16,321680,False,86.11.64,1886,True,https://images.metmuseum.org/CRDImages/an/original/DP-16190-009.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-16190-009.jpg,"['https://images.metmuseum.org/CRDImages/an/original/hb86_11_64a.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-294.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-295.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-16190-010.jpg']",,Ancient Near Eastern Art,Cuneiform tablet,Cuneiform tablet: list of magical stones,Achaemenid or Seleucid,Achaemenid or Seleucid,,,,,,,,,,,,,,,,ca. mid- to late 1st millennium B.C.,-500,-250,Clay,2 7/8 × 3 1/8 × 1 1/8 in. (7.3 × 7.9 × 2.9 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 2.9, 'Height': 7.29, 'Width': 7.92}}]","Purchase, 1886",,,,,,Mesopotamia,,,,,,,,,2021-04-15T04:40:52.63Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/321680,"[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]",,True,406
17,325500,False,62.70.95,1962,True,https://images.metmuseum.org/CRDImages/an/original/DP-15117-041.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-15117-041.jpg,"['https://images.metmuseum.org/CRDImages/an/original/DP-15117-042.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-001.jpg']",,Ancient Near Eastern Art,Cuneiform tablet,Cuneiform tablet: distribution of copper knives,,Early Dynastic III,,,,,,,,,,,,,,,,ca. 2600–2350 B.C.,-2600,-2350,Clay,6.8 x 4.9 x 1.9 cm (2 5/8 x 1 7/8 x 3/4 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 1.9, 'Height': 6.8, 'Width': 4.9}}]","Rogers Fund, 1962",,,,,,Mesopotamia,Nippur,,,,,,,,2020-09-25T04:35:54.317Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/325500,"[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]",,False,403
18,321878,False,86.11.251,1886,True,https://images.metmuseum.org/CRDImages/an/original/DP360672.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP360672.jpg,"['https://images.metmuseum.org/CRDImages/an/original/DP375604.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-082.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-083.jpg']",,Ancient Near Eastern Art,Cuneiform tablet,Cuneiform tablet: student exercise tablet,Babylonian,Old Babylonian,,,,,,,,,,,,,,,,ca. 20th–16th century B.C.,-2000,-1500,Clay,7.6 x 2.9 cm (3 x 1 1/8 in.),"[{'elementName': 'Other', 'elementDescription': None, 'elementMeasurements': {'Depth': 2.9, 'Height': 7.6, 'Width': 7.6}}]","Purchase, 1886",,,,,,Mesopotamia,,,,,,,,,2021-08-20T04:36:13.79Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/321878,"[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]",,True,402
19,321677,False,86.11.61,1886,True,https://images.metmuseum.org/CRDImages/an/original/DP-15732-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-15732-001.jpg,"['https://images.metmuseum.org/CRDImages/an/original/266801.JPG', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-331.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-332.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-15732-002.jpg']",,Ancient Near Eastern Art,Cuneiform tablet,Cuneiform tablet: Late Babylonian grammatical text,,,,,,,,,,,,,,,,,,ca. late 1st millennium B.C.,-500,-1,Clay,3 3/16 × 2 9/16 × 7/8 in. (8.1 × 6.5 × 2.2 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 2.2, 'Height': 8.1, 'Width': 6.5}}]","Purchase, 1886",,,,,,Mesopotamia,probably from Babylon (modern Hillah),,,,,,,,2021-08-20T04:36:13.79Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/321677,"[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]",,False,402
